PART_ID,PART_NAME,PART_CATEGORY,ASSEMBLY,QUANTITY,MATERIAL,SPECIES,GRADE,PURCHASE,ROUGH_THICKNESS,ROUGH_WIDTH,ROUGH_LENGTH,FINISHED_THICKNESS,FINISHED_WIDTH,FINISHED_LENGTH,REFERENCE_FACE,REFERENCE_EDGE,REFERENCE_END,PROCESS,JOINERY,HANDED,NOTES,BOARD_FEET_NET,MAKE_OR_BUY,REVISION,GRAIN_DIRECTION
L-001,P0 Latch post,post,A-FRAME,1,Douglas fir,DF,Select / #1,6×6 × 8′,5.5,5.5,77.0,3.5,5.5,75.5,garden face,run-left arris,tenon shoulder (pad top),rip 6×6→3½×5½ · shoulder tenon · bore/chisel nuki · kusabi slots except L-001,foot tenon + nuki mortise,unique,"Latch / house side — nuki mortises, no kusabi; latch B mortise",10.09,MAKE,D,length
L-002,P1 Hinge post,post,A-FRAME,1,Douglas fir,DF,Select / #1,6×6 × 8′,5.5,5.5,77.0,3.5,5.5,75.5,garden face,run-left arris,tenon shoulder (pad top),rip 6×6→3½×5½ · shoulder tenon · bore/chisel nuki · kusabi slots except L-001,foot tenon + nuki mortise + kusabi,unique,Gate pintles; nuki + kusabi; gudgeon faces,10.09,MAKE,D,length
L-003,P2 Mid post,post,A-FRAME,1,Douglas fir,DF,Select / #1,6×6 × 8′,5.5,5.5,77.0,3.5,5.5,75.5,garden face,run-left arris,tenon shoulder (pad top),rip 6×6→3½×5½ · shoulder tenon · bore/chisel nuki · kusabi slots except L-001,foot tenon + nuki mortise + kusabi,unique,Cap scarf bearing; nuki + kusabi,10.09,MAKE,D,length
L-004,P3 End post,post,A-FRAME,1,Douglas fir,DF,Select / #1,6×6 × 8′,5.5,5.5,77.0,3.5,5.5,75.5,garden face,run-left arris,tenon shoulder (pad top),rip 6×6→3½×5½ · shoulder tenon · bore/chisel nuki · kusabi slots except L-001,foot tenon + nuki mortise + kusabi,unique,Run terminus; nuki + kusabi,10.09,MAKE,D,length
R-001,Nuki Prairie band R1,rail,A-PRIVACY,1,Douglas fir,DF,Select / #1,2×12 × 12′ outer zone,1.5,11.25,144.0,1.5,7.25,104.5,top edge,garden face,P1 overhang,rip 7¼″ from 2×12 outer zone · plow grooves · dry-slide,nuki through L-002/003/004 + kusabi,identical-orientation,CL AFF 10.0″,7.89,MAKE,D,length
R-002,Nuki Prairie band R2,rail,A-PRIVACY,1,Douglas fir,DF,Select / #1,2×12 × 12′ outer zone,1.5,11.25,144.0,1.5,7.25,104.5,top edge,garden face,P1 overhang,rip 7¼″ from 2×12 outer zone · plow grooves · dry-slide,nuki through L-002/003/004 + kusabi,identical-orientation,CL AFF 28.0″,7.89,MAKE,D,length
R-003,Nuki Prairie band R3,rail,A-PRIVACY,1,Douglas fir,DF,Select / #1,2×12 × 12′ outer zone,1.5,11.25,144.0,1.5,7.25,104.5,top edge,garden face,P1 overhang,rip 7¼″ from 2×12 outer zone · plow grooves · dry-slide,nuki through L-002/003/004 + kusabi,identical-orientation,CL AFF 46.0″,7.89,MAKE,D,length
R-004,Cap scarf leaf A (P1–P2),cap,A-PRIVACY,1,Douglas fir,DF,Select / #1,2×12 × 12′,1.5,11.25,144.0,1.5,7.25,52.5,top,garden,P2 scarf,kama-tsugi · shoot · drawbore,kama-tsugi J-KAMA-01,left-of-scarf,Mates R-005 at P2,3.96,MAKE,D,length
R-005,Cap scarf leaf B (P2–P3),cap,A-PRIVACY,1,Douglas fir,DF,Select / #1,2×12 × 12′,1.5,11.25,72.0,1.5,7.25,52.5,top,garden,P2 scarf,kama-tsugi · shoot · drawbore,kama-tsugi J-KAMA-01,right-of-scarf,Mates R-004 at P2,3.96,MAKE,D,length
R-006,Cap stub over P0,cap,A-GATE,1,Douglas fir,DF,Select / #1,2×12 offcut,1.5,7.25,12.0,1.5,7.25,4.5,top,garden,house,crosscut · plane,bears on L-001; does not bridge gate,none,Does not span gate opening,0.34,MAKE,D,length
P-C1,Privacy board C1_below_R1,board,A-PRIVACY,16,Douglas fir,DF,Select VG-leaning,1×12 × 10′ edge strips,0.75,11.25,120.0,0.75,5.5,4.75,garden,left,bottom,rip VG edge · plane ¾″ · cut to course,FLOATING in R-001–R-003 grooves — no fasteners,identical,z 1.500–6.250 AFF; gap 0.25″,2.24,MAKE,D,length
P-C2,Privacy board C2_R1_R2,board,A-PRIVACY,16,Douglas fir,DF,Select VG-leaning,1×12 × 10′ edge strips,0.75,11.25,120.0,0.75,5.5,10.5,garden,left,bottom,rip VG edge · plane ¾″ · cut to course,FLOATING in R-001–R-003 grooves — no fasteners,identical,z 13.750–24.250 AFF; gap 0.25″,4.8,MAKE,D,length
P-C3,Privacy board C3_R2_R3,board,A-PRIVACY,16,Douglas fir,DF,Select VG-leaning,1×12 × 10′ edge strips,0.75,11.25,120.0,0.75,5.5,10.5,garden,left,bottom,rip VG edge · plane ¾″ · cut to course,FLOATING in R-001–R-003 grooves — no fasteners,identical,z 31.750–42.250 AFF; gap 0.25″,4.8,MAKE,D,length
P-C4,Privacy board C4_above_R3,board,A-PRIVACY,16,Douglas fir,DF,Select VG-leaning,1×12 × 10′ edge strips,0.75,11.25,120.0,0.75,5.5,13.625,garden,left,bottom,rip VG edge · plane ¾″ · cut to course,FLOATING in R-001–R-003 grooves — no fasteners,identical,z 49.750–63.375 AFF; gap 0.25″,6.24,MAKE,D,length
G-001,Gate stile (pair),gate,A-GATE,2,Douglas fir,DF,Select / #1,2×12 remainder 3½″ strip,1.5,3.5,64.0,1.5,3.5,63.0,garden,outer,bottom,hozo mortises · pintle gudgeons on P1 stile,hozo drawbore to G-010 rails,LH/RH pair,G-001A latch stile · G-001B hinge stile — mark both,4.6,MAKE,D,length
G-010,Gate rails (Prairie-aligned + top/bottom),gate,A-GATE,5,Douglas fir,DF,Select / #1,2×12 remainder,1.5,5.5,31.0,1.5,5.5,28.0,garden,top,tenon shoulder,tenon both ends · drawbore from MFT stop,hozo into G-001,identical,Three align R1–R3 CL; extra top/bottom 3.5″ rails in CAD,8.0,MAKE,D,length
G-020,Gate diagonal brace,gate,A-GATE,1,Douglas fir,DF,Select / #1,2×12 remainder,1.5,3.5,61.942,1.5,3.5,59.942,garden,long,lower hinge,protractor angle · half-lap · Preda shoot,half-lap into G-010 — no fasteners,none,"Compression brace; orientation: low at latch, high at hinge (confirm swing)",2.19,MAKE,D,length
G-030,Gate infill boards,board,A-GATE,4,Douglas fir,DF,Select VG-leaning,1×12 edge strips,0.75,5.5,63.0,0.75,5.5,55.0,garden,left,bottom,float / retain in gate frame language,FLOATING — no fasteners,identical,Match privacy 1×6 language,6.32,MAKE,D,length
K-001,Kusabi wedge,joinery,A-PRIVACY,12,White oak,Q. alba,clear,8/4 × 6″ × 6′,0.75,1.25,6.0,0.625,1.125,5.5,drive face,long,thin,kerf tools set angle · rip · hand-fit each slot · label,friction lock — NEVER glue,fit-to-slot,9 seats + 3 spares. Softwood forbidden outdoors.,0.33749999999999997,MAKE,D,length
H-001,Drawbore peg,joinery,A-GATE,12,White oak,Q. alba,clear,8/4 offcut,0.5,0.5,4.0,0.375,0.375,3.0,n/a,n/a,entry chamfer,rasp/turn ⌀⅜ · light Taylor countersink on mortise mouth only,drawbore ⅛″ offset,none,Gate hozo + cap scarf. Not structural nails.,0.1,MAKE,D,length
H-002,Wooden pintle + gudgeon set,hardware-wood,A-GATE,2,White oak / hard maple,oak,clear,8/4,1.5,1.5,8.0,1.0,1.0,6.0,bearing,plumb,tip,turn/rasp · dry-fit lift-off,wood hinge — lift straight up,pair,On L-002. Optional stainless upgrade is only allowed metal hinge.,0.2,MAKE,D,length
H-003,Sliding latch bar,hardware-wood,A-GATE,1,White oak,Q. alba,clear,8/4,1.75,3.75,20.0,1.5,3.5,18.0,top,long,house,plane · fit stile slot,sliding — Latch A house sleeve or Latch B P0 mortise,none,Cross-peg + optional padlock hasp (only metal lock),0.66,MAKE,D,length
H-010,Sleeve liner,hardware,A-BASE,4,PVC Sch40 or galv.,—,—,tube to tenon + ¼″ clear,0,0,14.0,0,0,13.5,n/a,n/a,drain,drill ⌀½″ drain at bottom,receives foot tenon CLEARANCE,none,Do not tighten around tenon — winter pull,0,BUY,D,length
C-001,Leveling pad,concrete,A-BASE,1,4000 psi AE concrete,—,air-entrained,~0.35 yd³ with piers,6.0,28.0,155.0,6.0,28.0,155.0,top (level),driveway,P0 end,form · pour · cure,n/a,none,Drop makeup default 5.0″ — class M field verify,0,MAKE,D,length
C-002,Socket pier,concrete,A-BASE,4,4000 psi AE concrete,—,air-entrained / optional precast,with C-001,14.0,14.0,18.0,14.0,14.0,18.0,top,garden,top,form or precast · tip-out,sleeve pocket,none,Winter: tip onto dolly; store dry,0,MAKE,D,length
H-020,Optional stainless pintle set,hardware,A-GATE,1,Stainless,—,—,optional,0,0,0,0,0,0,n/a,n/a,n/a,install only if wood pintles rejected,only allowed metal hinge,pair,Not required. Timber frame stays nail-free either way.,0,BUY,D,length
