JOINT_ID,JOINT_TYPE,PART_A,PART_B,LOCATION,MORTISE_WIDTH,MORTISE_HEIGHT,MORTISE_DEPTH,TENON_WIDTH,TENON_HEIGHT,TENON_LENGTH,SHOULDER,HAUNCH,CHAMFER,DOWEL_DIAMETER,DRAWBORE_OFFSET,FIT_CLASS,ASSEMBLY_DIRECTION,CONSTRAINT,NOTES
J-N011,NUKI 貫 through-pocket,R-001,M-002-*,Bay 1 rail 1 CL z=350,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N012,NUKI 貫 through-pocket,R-001,M-002-*,Bay 1 rail 2 CL z=1000,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N013,NUKI 貫 through-pocket,R-001,M-002-*,Bay 1 rail 3 CL z=1650,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N021,NUKI 貫 through-pocket,R-001,M-002-*,Bay 2 rail 1 CL z=350,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N022,NUKI 貫 through-pocket,R-001,M-002-*,Bay 2 rail 2 CL z=1000,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N023,NUKI 貫 through-pocket,R-001,M-002-*,Bay 2 rail 3 CL z=1650,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N031,NUKI 貫 through-pocket,R-001,M-002-*,Bay 3 rail 1 CL z=350,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N032,NUKI 貫 through-pocket,R-001,M-002-*,Bay 3 rail 2 CL z=1000,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N033,NUKI 貫 through-pocket,R-001,M-002-*,Bay 3 rail 3 CL z=1650,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N041,NUKI 貫 through-pocket,R-001,M-002-*,Bay 4 rail 1 CL z=350,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N042,NUKI 貫 through-pocket,R-001,M-002-*,Bay 4 rail 2 CL z=1000,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-N043,NUKI 貫 through-pocket,R-001,M-002-*,Bay 4 rail 3 CL z=1650,44,95,60,38,89,60,0,0,1 mm arris,0,0,CLEARANCE + WEDGE (W-001),Slide rail through both pockets along +X,FLOATING,Pocket floor sloped 5° out. Seasonal ease in cheeks. No glue.
J-ARCH,Radial voussoir bed (Roman),M-005/M-006/M-007,M-004 imposts,Gate CL x=8170 spring z=1810,0,0,0,0,0,0,0,0,0,SS erection dowels @ imposts only,0,GLUE (Type S 10 mm joints) COMPRESSION,"Built on timber centering, key last",FIXED,Pure compression. No structural steel.
J-HOZO-LEAF,Hozo ほぞ mortise & tenon,GL-001,GS-001,Gate leaf — 3 ledges × 2 stiles = 6 tenons,15.0,45,42.0,15.0,45,38.5,equal,0,1 mm,10,1.5,DRAWBORED / SNUG,"Stiles onto ledges (frame first, boards last)",FIXED,Tenon thickness ≈ ⅓ stock. Drawbore 1.5 mm toward shoulder.
J-WATARI,Watari-ago 渡り顎 (optional upgrade),R-001 (mid-rail),M-002-*,Wind-exposed mid-rails / gate-adjacent bays — OPTIONAL,44,95,60,38,89,60,18,18,0,0,0,FRICTION + HAUNCH,Same as nuki after haunch seats cut,FLOATING,Upgrade path from J-N*. Do not mix haunched and plain in one rail.
