DIM_ID,NOMINAL,TOL,UNIT,DATUM,FEATURE,CLASS,EQ,SHEET,INSPECT
DIM-ENV-X,22.00,±0.03,in,D1,Base width X,G,P.base_x,A-102 / W-1,tape
DIM-ENV-Y,36.00,±0.03,in,D1,Base depth Y,G,P.base_y,A-102 / W-1,tape
DIM-ENV-Z,22.00,±0.10,in,benchtop floor,Overall envelope height incl. hood,G,P.envelope_z,A-101 / A-104,tape
DIM-WALL-H,20.00,±0.03,in,D1,Wall height,G,P.wall_h,P-202 / A-102,tape
DIM-WALL-T,1.50,±0.02,in,D1,Doubled wall,D,2×0.75,P-202,caliper
DIM-INNER,16.50,±0.03,in,idle inner,Clear between walls,G,P.inner_w,A-102,inside stick
DIM-FACE,16.00,±0.02,in,D2,Drum face,G,P.drum_face,P-201,caliper
DIM-OD,5.000,±0.010,in,shaft axis,Turned drum OD,T,true after glue,J-201,Q02
DIM-AXIS-Z,13.50,±0.02,in,D1,Drum axis height,G,P.drum_z,A-103,story stick
DIM-AXIS-Y,18.00,±0.02,in,infeed face,Drum axis Y,G,P.drum_y,A-102,story stick
DIM-BORE,0.748,+0.000/−0.002,in,disc center,Disc bore,G,shaft − 0.002,P-201 / T-DISC,pin gauge
DIM-CROWN,0.030,±0.005,in,roller CL,Barrel crown,G,P.roller_crown,J-203,caliper mid vs end
DIM-CD,26.86,±0.05,in,infeed roller,Roller centers,D,P.roller_cd,A-102,tape
DIM-ACME,0.1667,REF,in/rev,n/a,Elevation pitch,D,1/6 TPI,M-103,count revs
DIM-TRAVEL,4.50,±0.05,in,D1,Table travel,G,P.travel,W-4, DRO
DIM-JACK,±0.040,range,in,D3,Idle jack,G,¼-20,J-202,feeler 16″ board
DIM-RPM,1089,REF,rpm,n/a,Drum speed,D,1725×3.00/4.75,G-002,tach optional
DIM-SFM,1426,REF,sfm,n/a,Surface speed,D,π×5×rpm/12,G-002,calc
DIM-FEED,15.7,REF,fpm,n/a,Feed at 30 rpm roller,D,π×2/12×30,M-102,mark & clock
