item_id,description,qty,controlling_spec,part_number,criticality,mating_parts,substitution_rule,design_basis,link,search_query
MC-01,"Aluminum round tube, 5"" OD x 0.25"" wall — drum shell","1 pc x 18"" (finish 15.75"")","6061-T6, 5"" OD, 0.25"" wall (ID 4.5""). Wall is a stiffness requirement, not cosmetic: I = 10.55 in^4.",CONFIRM AT ORDER,safety,"P-020 shell, P-021 end plugs",Any 6061 or 6063 tube with OD 5.000 -0.000/+0.030 and wall >= 0.180 in. Do NOT substitute thin-wall decorative tube: wall drives the stiffness in CALC-C02.,CALC-C02 series-model drum crown,https://www.mcmaster.com/?q=6061+aluminum+round+tube+5%22+OD+0.25%22+wall,"6061 aluminum round tube 5"" OD 0.25"" wall"
MC-02,"Precision-ground rotary shaft, 1.25"" dia — drum shaft","1 pc x 24""","1.25"" dia, ground and polished, straightness <= 0.001""/ft, surface finish suitable for a set-screw insert.",CONFIRM AT ORDER,safety,"P-010 shaft, H-001/H-002 bearings, P-021 plugs, H-004 sheave","1045 TG&P or 1566 ground shafting, 1.25"" -0.001/-0.000. Hot-rolled bar is NOT acceptable: TIR would consume the whole alignment budget.",CALC-C01/C02 shaft stiffness sweep,https://www.mcmaster.com/?q=precision+ground+rotary+shaft+1.25+inch+diameter,precision ground rotary shaft 1.25 inch diameter
MC-03,"Mounted ball bearing, 1.25"" bore, self-aligning insert",2 ea (1 fixed drive + 1 floating idler),"1.25"" bore, spherical-seat (self-aligning) insert, set-screw or eccentric-collar locking, sealed. REQUIRED basic dynamic capacity C >= 137 lbf for 5000 h at 1208 rpm. Static misalignment capability >= 0.011 deg.",CONFIRM AT ORDER,safety,"P-001L (fixed), P-023 idler adjust plate (floating), P-010 shaft","Any 2- or 4-bolt flange or pillow block meeting the bore, the C requirement and the self-aligning requirement. Confirm C on the vendor page; a bearing chosen by bore alone is not specified.",CALC-C11 required C; CALC-C08 misalignment,https://www.mcmaster.com/?q=mounted+ball+bearing+flange+1.25+inch+bore+self-aligning,mounted ball bearing flange 1.25 inch bore self-aligning
MC-04,"Aluminum round bar, 4-1/2"" dia — drum end plugs","1 pc x 4"" (yields 2 plugs 1.5"" thick)","6061-T6 round bar, >= 4.5"" dia. Turn to a light press/bond fit in the shell ID and bore 1.25"" H7-equivalent for the shaft.",CONFIRM AT ORDER,safety,"P-021 plug, P-020 shell, P-010 shaft",Phenolic or hard maple acceptable for Option B only; aluminum preferred because it holds the bore under humidity change.,ALN-01 drum TIR budget,https://www.mcmaster.com/?q=6061+aluminum+round+bar+4-1%2F2+inch+diameter,6061 aluminum round bar 4-1/2 inch diameter
MC-05,"Clamping shaft collar, 1.25"" bore",4 ea,"Two-piece or single-piece clamping collar, 1.25"" bore, steel or aluminum. Used to locate the plugs axially and to set the fixed-bearing shoulder. Clamp type only — set-screw collars mar the ground shaft.",CONFIRM AT ORDER,fit,"P-010 shaft, P-021 plugs, H-001 bearing","Any clamp-style collar of the correct bore. Set-screw collars are excluded by interface, not by preference.",J-106 axial location,https://www.mcmaster.com/?q=clamping+shaft+collar+1.25+inch+bore+two+piece,clamping shaft collar 1.25 inch bore two piece
MC-06,"Socket head cap screw, 1/4-28 — parallelism micro-adjust jack",2 ea (1 live + 1 spare),"1/4-28 x 1-1/2"" alloy socket head cap screw. Fine thread is the requirement: lead 0.03571"" gives 0.26 mil at the work per 15 deg of knob.",CONFIRM AT ORDER,fit,"P-023 idler adjust plate, P-024 jack block",M6x0.75 acceptable if the lead is recomputed and the sheet is revised. Do NOT use 1/4-20: resolution degrades ~40%.,CALC-C07 micro-adjust resolution,https://www.mcmaster.com/?q=1%2F4-28+socket+head+cap+screw+alloy+steel+1-1%2F2+long,1/4-28 socket head cap screw alloy steel 1-1/2 long
MC-07,"Brass-tip set screw, 1/4-20 — gib adjusters",6 ea,1/4-20 brass-tipped or nylon-tipped set screw. Brass tip loads the gib without embedding in it.,CONFIRM AT ORDER,fit,"P-022 gib, P-001R side",Any tipped set screw. A bare steel set screw is excluded: it brinells the gib and the setting drifts.,CALC-C05 way play term; D-032,https://www.mcmaster.com/?q=brass+tipped+set+screw+1%2F4-20,brass tipped set screw 1/4-20
MC-08,"Hardened dowel pin, 3/8"" x 2"" — idler plate pivot",2 ea,"3/8"" x 2"" hardened, ground dowel pin. The pivot must not wear oval or the parallelism setting walks.",CONFIRM AT ORDER,fit,"P-023 idler adjust plate, P-001R side",Ground shoulder bolt of the same diameter is acceptable.,D-033 pivot-plate architecture,https://www.mcmaster.com/?q=hardened+precision+dowel+pin+3%2F8+x+2,hardened precision dowel pin 3/8 x 2
MC-09,"Dial indicator, 1"" travel, 0.001"" graduations + magnetic base",1 ea,"Travel >= 1"", resolution 0.001"", lug or stem back. Magnetic base with a fine adjust. This is the instrument that proves ALN-01 and TV-01.",CONFIRM AT ORDER,safety,"Q-101 acceptance, indicator pad on P-001L","0.0005"" indicator or a digital caliper in wooden blocks. A tape measure cannot verify this specification.","ALN-01, TV-01 verification method",https://www.mcmaster.com/?q=dial+indicator+1+inch+travel+0.001+graduation+magnetic+base,dial indicator 1 inch travel 0.001 graduation magnetic base
MC-10,"Acme lead screw, 1/2""-10, single lead","2 pc x 12""","1/2-10 single-lead Acme, steel. Lead 0.100""/rev gives 2.50 mil per handwheel division.",CONFIRM AT ORDER,fit,"P-016 nut block, P-018 thrust block, H-008 chain",1/2-10 2-start acme is NOT interchangeable: it doubles the lead and halves the resolution. Revise the sheet if used.,"CALC-C09, CALC-C10",https://www.mcmaster.com/?q=1%2F2-10+acme+threaded+rod+lead+screw,1/2-10 acme threaded rod lead screw
MC-11,"Bronze Acme nut, 1/2""-10",2 ea,Bronze or acetal Acme nut to match MC-10 lead. Flanged preferred so it can be bolted to P-016.,CONFIRM AT ORDER,fit,"P-016 nut block, MC-10 screw",Any nut matching the screw lead and axial load. Verify the thread is the same hand and lead as MC-10.,CALC-C09,https://www.mcmaster.com/?q=bronze+acme+nut+1%2F2-10,bronze acme nut 1/2-10
MC-12,"Roller chain #25 + sprockets, 1/2"" bore","1 x 3 ft chain, 2 sprockets, 1 connecting link","#25 roller chain, two matched sprockets 1/2"" bore with set screw. Equal tooth count is mandatory — unequal sprockets tilt the table.",CONFIRM AT ORDER,safety,"MC-10 screws, H-008",Timing belt and matched pulleys are acceptable and quieter. Tooth counts must be equal.,D-003 coupled dual-screw lift,https://www.mcmaster.com/?q=roller+chain+25+sprocket+1%2F2+inch+bore,roller chain 25 sprocket 1/2 inch bore
MC-13,"Handwheel with graduated dial, 1/2"" bore",1 ea,"Handwheel >= 4"" dia, 1/2"" bore, with a graduated or markable rim. 40 divisions -> 2.50 mil per division.",CONFIRM AT ORDER,fit,MC-10 screw,Plain handwheel plus a shop-made paper dial is acceptable if graduation count is recorded on Q-102.,CALC-C10,https://www.mcmaster.com/?q=handwheel+graduated+dial+1%2F2+inch+bore+4+inch,handwheel graduated dial 1/2 inch bore 4 inch
MC-14,"UHMW bar, 3/4"" x 2-1/2"" — vertical ways and gib",1 pc x 4 ft,"UHMW-PE bar 3/4"" x 2-1/2"". Two ways plus gib stock plus spare. Dry bearing: wax only, never oil.",CONFIRM AT ORDER,fit,"P-007 way, P-022 gib, P-001L/R",Acetal or cast nylon acceptable; both move more with humidity than UHMW. PTFE is too soft for the gib.,CALC-C16 way stress; D-032 gib,https://www.mcmaster.com/?q=UHMW+polyethylene+bar+3%2F4+x+2-1%2F2,UHMW polyethylene bar 3/4 x 2-1/2
MC-15,"Canvas or linen phenolic sheet, 1/2"" — table wear face","1 pc 16"" x 22""","1/2"" canvas-base phenolic. This is DATUM-D, the metrology surface. Flatness after bonding must be <= 3 mil over the 15.5"" contact line.",CONFIRM AT ORDER,fit,"P-006 wear face, P-004 skins","3/8"" MIC-6 cast aluminum plate is a better metrology surface and an acceptable substitute. Ordinary rolled plate is not: it is not flat enough.",TV-01 table flatness term,https://www.mcmaster.com/?q=canvas+phenolic+sheet+1%2F2+inch+thick,canvas phenolic sheet 1/2 inch thick
MC-16,"V-belt sheave, 5"" OD, 1.25"" bore — drum",1 ea,"5"" pitch dia, A/4L section, 1.25"" bore, keyed or set-screw. With the 3.5"" motor sheave this gives 1208 rpm.",CONFIRM AT ORDER,fit,"P-010 shaft, MC-18 belt",Any A/4L sheave of the same pitch diameter and bore. Changing diameter changes surface speed — recompute CALC-C12.,CALC-C12,https://www.mcmaster.com/?q=v-belt+pulley+5+inch+1.25+inch+bore+A+section,v-belt pulley 5 inch 1.25 inch bore A section
MC-17,"V-belt sheave, 3.5"" OD — motor",1 ea,"3.5"" pitch dia, A/4L section, bore to match the motor shaft (MEASURE it — 5/8"" is common but not universal).",CONFIRM AT ORDER,fit,"Motor shaft, MC-18 belt",Match pitch diameter and the measured motor bore.,CALC-C12,https://www.mcmaster.com/?q=v-belt+pulley+3.5+inch+A+section+5%2F8+bore,v-belt pulley 3.5 inch A section 5/8 bore
MC-18,"V-belt, A/4L section",1 ea (size after the cradle is locked),"A/4L section. Length is measured, not predicted: lock the motor cradle, then measure the centre distance and compute pitch length.",CONFIRM AT ORDER,fit,"MC-16, MC-17",Link belt is an acceptable and quieter substitute.,M-102 belt length equation,https://www.mcmaster.com/?q=4L+v-belt,4L v-belt
MC-19,"Compression spring, ~3/4"" OD — hold-down rollers",4 ea,"Light compression spring, ~3/4"" OD, free length ~2"". Light is the requirement: a stiff spring bows thin stock and you sand a banana.",CONFIRM AT ORDER,fit,"P-014 yoke, H-009 roller","Any spring that lets a 1/16"" board pass without visible bow.",QC-08,https://www.mcmaster.com/?q=compression+spring+3%2F4+od+2+inch+free+length+light,compression spring 3/4 od 2 inch free length light
