item,qty,search,mcmaster
"Shaft ¾"" × 22"" 1144 Stressproof, keyed 3/16""",1,1144 ground 0.75 rod 24,
"Flange bearing UCFL204-12 (¾"")",2,UCFL204-12,6661K13
"Flange bearing UCFL201-10 (⅝"")",4,UCFL201-10,6661K11
"Aluminum tube 2.00"" OD × 16.25""",2,aluminum round tube 2.000 OD,9056K44
"Roller shaft ⅝"" × 22""",2,0.625 precision shaft,1346K13
"Acme screw ¾-6 × 12""",2,acme 3/4-6 12,99030A460
Acme nut ¾-6 bronze,2,acme nut 3/4-6,6350K15
HTD 5 mm 15 mm belt + 16T pulleys,1 set,HTD 5mm 15mm,
"Handwheel 4"" ¾"" bore",1,handwheel 4 inch 3/4 bore,6086K52
"4L pulley 3.00"" ¾"" bore",1,4L pulley 3.0 3/4,6245K27
"4L pulley 4.75"" ¾"" bore",1,4L pulley 4.75 3/4,6245K47
4L440 link belt,1,4L440 link,6191K37
"Conveyor belt 16"" × 60"" 2-ply PVC endless",1,PVC conveyor 16 inch,
Motor 1 HP TEFC 1725 RPM 115 V 56C,1,1 HP TEFC 1725 56C,
24 V DC worm gearmotor ~30 RPM,1,24V worm 30 rpm,
24 V 5 A PSU + PWM controller,1,24V 5A PWM,
Magnetic starter / DP contactor + OL,1,NEMA 0 starter 115V,
E-stop 40 mm mushroom NC,1,estop 40mm,
"Steel plate ¼"" × 6 × 6",2,A36 1/4 plate,8910K713
"Steel plate ¼"" × 8 × 10 (hinge)",1,A36 1/4 plate,8910K713
UHMW 1/8 × 24 × 48,1,UHMW 1/8 sheet,8752K111
"PSA hook tape 4"" × 5 yd",1,hook tape 4 inch PSA,
"Abrasive rolls 3"" × 25' 80/120/150",3,Klingspor 3 inch roll,
"4"" dust flange + hose",1,4 inch dust port,
"Nylon brush strip 16""",1,brush strip 16,
#8 / 5/16 / ¼-20 fasteners + T-nuts,1 kit,t-nut 1/4-20,
