item,qty,search,mcmaster
"Flange bearing UCFL204-12 (¾"")",2,UCFL204-12,6661K13
"Flange bearing UCFL201-10 (⅝"")",4,UCFL201-10,6661K11
"Aluminum tube 2.00"" OD × 16.25""",2,aluminum round tube 2.000 OD,9056K44
"Roller shaft ⅝"" × 22""",2,0.625 precision shaft,1346K13
"Acme screw ¾-6 × 12""",2,acme 3/4-6 12,99030A460
Acme nut ¾-6 bronze,2,acme nut 3/4-6,6350K15
"Handwheel 4"" ¾"" bore",1,handwheel 4 inch 3/4 bore,6086K52
"4L pulley 3.00"" ¾"" bore",1,4L pulley 3.0 3/4,6245K27
"4L pulley 4.75"" ¾"" bore",1,4L pulley 4.75 3/4,6245K47
4L440 link belt,1,4L440 link,6191K37
"Steel plate ¼"" × 6 × 6",2,A36 1/4 plate,8910K713
"Steel plate ¼"" × 8 × 10 (hinge)",1,A36 1/4 plate,8910K713
UHMW 1/8 × 24 × 48,1,UHMW 1/8 sheet,8752K111
